A12,12.69
A13,13.99
A22 5G,15.39
A23 5G,
A32 5G,15.84
A33 5G,
A52S 5G,19.89
A53 5G,21.49
S20 FE,23.49
S20 FE 5G,21.24
S21 5G WITH BUDS PRO,35.64
S21 FE,23.49
S21 FE WITH BUDS 2,24.39
S21 ULTRA,41.14
S21+,32.04
S22,35.10
S22 ULTRA,42.39
S22+,36.99
TAB A8 LTE,17.19
Z FLIP 3,34.74
Z FLIP 4,
Z FOLD 3,55.44
Z FOLD 4,
11,22.14
12,26.64
13,30.99
14,
11 PRO MAX,35.19
11 WITH AIRPODS PRO,27.54
12 MINI,23.04
12 PRO,28.44
12 PRO MAX,32.94
12 WITH AIRPODS PRO,32.04
13 MINI,27.99
13 PRO,37.99
13 PRO MAX,41.49
13 WITH AIRPODS PRO,33.39
14 PLUS,
14 PRO MAX,45.99
SE 2020,18.09
SE 2020 WITH AIRPODS,22.59
SE 3RD GEN,21.24
SE 3RD GEN WITH AIRPODS,25.29
